name, party, screenname, comment
"Karl Lauterbach", "SPD", "Karl_Lauterbach", NA
"Olaf Scholz", "SPD", "OlafScholz", NA
"Annalena Baerback", "Gruene", "ABaerbock",NA
"Bundesministerium für Wirtschaft und Klimaschutz", "Gruene", "BMWK", "Robert Habeck ist der Minister im BMWK"
"Friedrich Merz", "CDU", "_FriedrichMerz", "CDU-Chef"
"Markus Söder", "CSU", "Markus_Soeder", "CSU-Chef"
"Cem Özdemir", "Gruene", "cem_oezdemir", "BMEL"
"Janine Wissler", "Linke", "Janine_Wissler", "Linke-Chefin"
"Martin Schirdewan", "Linke", "schirdewan", "Linke-Chef"
"Christian Lindner", "FDP", "c_lindner", "FDP-Chef"
"Marie-Agnes Strack-Zimmermann", "FDP", "MAStrackZi", "Vorsitzende Verteidigungsausschuss"
"Tino Chrupalla", "AFD", "Tino_Chrupalla", "AFD-Bundessprecher"
"Alice Weidel", "AFD", "Alice_Weidel", "AFD-Bundessprecherin"

